工序	事件名称	事件代码	事件类型	生产过程号	子生产过程号	过程参数1	过程参数2	过程参数3	过程参数4
BF	料仓排料开始	E11001	A	配料方案号	料批号	 	 	 	 
BF	料仓排料结束	E11002	A	配料方案号	料批号	物料名称	料仓号	排料重量	 
BF	布料开始	E11003	A	配料方案号	料批号	 	 	 	 
BF	布料结束	E11004	A	配料方案号	料批号	物料名称	料仓号	布料重量	 
BF	热风炉燃烧	E11005	F	配料方案号	热风炉炉座号	 	 	 	 
BF	热风炉焖炉	E11006	F	配料方案号	热风炉炉座号	 	 	 	 
BF	热风炉送风	E11007	F	配料方案号	热风炉炉座号	 	 	 	 
BF	热风炉停止	E11008	F	配料方案号	热风炉炉座号	 	 	 	 
BF	铁次出铁开始	E11009	I	铁次号	 	 	 	 	 
BF	铁次出铁结束	E11010	I	铁次号	 	铁水重量	 	 	 
BF	铁水罐接铁开始	E11011	I	铁次号	铁水罐号	 	 	 	 
BF	铁水罐接铁完成	E11012	I	铁次号	铁水罐号	铁水重量	 	 	 
BOF	钢包到达	G12001	L	炉次号	 	 	钢包号	 	 
BOF	钢包离开	G12002	L	炉次号	 	钢水重量	钢包号	 	 
BOF	处理开始	G12003	L	炉次号	 	 	 	 	 
BOF	处理结束	G12004	L	炉次号	 	 	 	 	 
BOF	炉次开始	G12005	L	炉次号	 	 	 	 	 
BOF	炉次结束	G12006	L	炉次号	 	 	 	 	 
BOF	炉次取消	G12007	L	炉次号	 	 	 	 	 
BOF	加料	G12008	L	炉次号	 	物料名称	料仓号	加料重量	 
BOF	钢水取样	G12009	L	炉次号	 	 	 	 	 
BOF	收到钢水化验	G12010	L	炉次号	 	 	 	 	 
BOF	钢渣取样	G12011	L	炉次号	 	 	 	 	 
BOF	收到钢渣化验	G12012	L	炉次号	 	 	 	 	 
BOF	钢水测温	G12013	L	炉次号	 	测量值	 	 	 
BOF	钢水定氢	G12014	L	炉次号	 	测量值	 	 	 
BOF	钢水定氧	G12015	L	炉次号	 	测量值	 	 	 
BOF	钢水定碳	G12016	L	炉次号	 	测量值	 	 	 
BOF	加废钢	G12017	L	炉次号	 	物料名称	料篮号	废钢重量	 
BOF	兑铁水	G12018	L	炉次号	 	铁包号	铁水重量	 	 
BOF	合金配料下发	G12019	L	炉次号	 	 	 	 	 
